cloverItemId,nombre_actual_recibo,nombre_sugerido_web,asignar_categoria_clover,categoria_sitio,tipo,queue_status,precio_cad,accion_clover
BMZ574WDZKEE0,Dendrobates Oophaga Paru (Couple),Dendrobates Oophaga Paru (Couple),Amphibien,,animal,pending,1200.00,Asigner categorie: Amphibien
Q6J294S8FM9M6,PT2745 Exo Terra Dart Frog Terrarium EN RÉDUCTION,Exo Terra Dart Frog Terrarium EN RÉDUCTION,Amphibien,,animal,pending,200.00,Asigner categorie: Amphibien
RP24Z18RJGW92,PT3174 Exo Terra Frog Pond Large,Exo Terra Frog Pond Large,Amphibien,,animal,pending,24.49,Asigner categorie: Amphibien
XMHRP0ADRKK6P,PT3175 Exo Terra Frog Pond Small,Exo Terra Frog Pond Small,Amphibien,,animal,pending,17.99,Asigner categorie: Amphibien
J368QJ8AYM48R,RR1022 Omega One Frog and Tadpole pellets 1.2oz,Omega One Frog and Tadpole pellets 1.2oz,Amphibien,,animal,pending,5.99,Asigner categorie: Amphibien
Z42B7NN4AQ0QA,Tad-Pool mix color,Tad-Pool mix color,Amphibien,,animal,pending,21.99,Asigner categorie: Amphibien
Y61MF6NKB3802,Tinctorius Yellow Back,Tinctorius Yellow Back,Amphibien,,animal,pending,130.00,Asigner categorie: Amphibien
QG7346KQNGPBM,Z735 ZooMed Aquatic Newt Food,ZooMed Aquatic Newt Food,Amphibien,,animal,pending,5.99,Asigner categorie: Amphibien
4ASGYYDX9EESA,Z967 Zoomed Frog Terrarium Kit 12x12x18,Zoomed Frog Terrarium Kit 12x12x18,Amphibien,,animal,pending,157.99,Asigner categorie: Amphibien
CXGJ0N19T5QXG,13731 Zilla Floating Turtle Trunk,Zilla Floating Turtle Trunk,Decoration,decor,product,pending,79.99,Asigner categorie: Decoration
Z7ZCDKMJ4HPRE,3RML Feuille de Magnolia,Feuille de Magnolia,Decoration,decor,product,pending,12.99,Asigner categorie: Decoration
E9FVJZCPAJBR0,65404 Botanicals Botte de Foin des Prés + Fleurs,Botanicals Botte de Foin des Prés + Fleurs,Decoration,decor,product,pending,15.00,Asigner categorie: Decoration
72KBS20S2C944,76997 Basking Hut 8'',Basking Hut 8'',Decoration,decor,product,pending,21.99,Asigner categorie: Decoration
D74AJRJ2ZDZR0,Betta Catappa Leaf,Betta Catappa Leaf,Decoration,decor,product,pending,3.99,Asigner categorie: Decoration
BADJW56GNJHFG,Ceramc Cave Hide Large Cachette,Ceramc Cave Hide Large Cachette,Decoration,decor,product,pending,40.99,Asigner categorie: Decoration
5BJ7MN930ESR2,Ceramic Cave Hide Medium Cachette,Ceramic Cave Hide Medium Cachette,Decoration,decor,product,pending,25.99,Asigner categorie: Decoration
CR4T5EFVBH6X2,G146 Reptile Hide Box XXL,Reptile Hide Box XXL,Decoration,decor,product,pending,39.99,Asigner categorie: Decoration
D71Y46XZGFH38,Guyana Leaf,Guyana Leaf,Decoration,decor,product,pending,11.99,Asigner categorie: Decoration
FT71J2G672G18,La Swamp - Feuilles de Logan,La Swamp - Feuilles de Logan,Decoration,decor,product,pending,4.99,Asigner categorie: Decoration
F02DMHZ94M6J8,La Swamp Feuilles de Catappa,La Swamp Feuilles de Catappa,Decoration,decor,product,pending,2.99,Asigner categorie: Decoration
EYSF77KNHSYTR,"La Swamp Feuilles de Kumbuk 0,5 oz","La Swamp Feuilles de Kumbuk 0,5 oz",Decoration,decor,product,pending,6.99,Asigner categorie: Decoration
GC5XQMA31AEV0,MBCL Cashew Leaf Litter,Cashew Leaf Litter,Decoration,decor,product,pending,13.99,Asigner categorie: Decoration
K3RQKWMNVS8JR,MBEX,MBEX,Decoration,decor,product,pending,10.99,Asigner categorie: Decoration
6Z6FJHMXFSJCG,MBOL Oak Leaf Litter 1 oz,Oak Leaf Litter 1 oz,Decoration,decor,product,pending,15.99,Asigner categorie: Decoration
6J67AD8JMBW7A,MBPL Maple Leaf Litter 1oz,Maple Leaf Litter 1oz,Decoration,decor,product,pending,14.99,Asigner categorie: Decoration
HYVCVB91010RY,Mango Leaf (1.5oz),Mango Leaf (1.5oz),Decoration,decor,product,pending,16.99,Asigner categorie: Decoration
0SC7E2J9V4466,Mushroom naturel Champignon,Mushroom naturel Champignon,Decoration,decor,product,pending,3.00,Asigner categorie: Decoration
CX5Q1N6H2RK7Y,NC101 Newcal Pet Live Oak Leaf Litter 0.5oz,Newcal Pet Live Oak Leaf Litter 0.5oz,Decoration,decor,product,pending,10.00,Asigner categorie: Decoration
3J470PW04K8H4,NC239 Lotus Pods (3-pack),Lotus Pods (3-pack),Decoration,decor,product,pending,11.00,Asigner categorie: Decoration
MHZ8GH32X1EPC,NC403 Newcal Pet Galho Estrela Natural Cork Branch 36'',Newcal Pet Galho Estrela Natural Cork Branch 36'',Decoration,decor,product,pending,22.00,Asigner categorie: Decoration
3HZB8BDHDDZGJ,NC446 Newcal Pet Curry Tree Branch 10-13,Newcal Pet Curry Tree Branch 10-13,Decoration,decor,product,pending,15.00,Asigner categorie: Decoration
