cloverItemId,nombre_actual_recibo,nombre_sugerido_web,asignar_categoria_clover,categoria_sitio,tipo,queue_status,precio_cad,accion_clover
CXGJ0N19T5QXG,13731 Zilla Floating Turtle Trunk,Zilla Floating Turtle Trunk,Decoration,decor,product,pending,79.99,Asigner categorie: Decoration
Z7ZCDKMJ4HPRE,3RML Feuille de Magnolia,Feuille de Magnolia,Decoration,decor,product,pending,12.99,Asigner categorie: Decoration
E9FVJZCPAJBR0,65404 Botanicals Botte de Foin des Prés + Fleurs,Botanicals Botte de Foin des Prés + Fleurs,Decoration,decor,product,pending,15.00,Asigner categorie: Decoration
72KBS20S2C944,76997 Basking Hut 8'',Basking Hut 8'',Decoration,decor,product,pending,21.99,Asigner categorie: Decoration
D74AJRJ2ZDZR0,Betta Catappa Leaf,Betta Catappa Leaf,Decoration,decor,product,pending,3.99,Asigner categorie: Decoration
BADJW56GNJHFG,Ceramc Cave Hide Large Cachette,Ceramc Cave Hide Large Cachette,Decoration,decor,product,pending,40.99,Asigner categorie: Decoration
5BJ7MN930ESR2,Ceramic Cave Hide Medium Cachette,Ceramic Cave Hide Medium Cachette,Decoration,decor,product,pending,25.99,Asigner categorie: Decoration
CR4T5EFVBH6X2,G146 Reptile Hide Box XXL,Reptile Hide Box XXL,Decoration,decor,product,pending,39.99,Asigner categorie: Decoration
D71Y46XZGFH38,Guyana Leaf,Guyana Leaf,Decoration,decor,product,pending,11.99,Asigner categorie: Decoration
FT71J2G672G18,La Swamp - Feuilles de Logan,La Swamp - Feuilles de Logan,Decoration,decor,product,pending,4.99,Asigner categorie: Decoration
F02DMHZ94M6J8,La Swamp Feuilles de Catappa,La Swamp Feuilles de Catappa,Decoration,decor,product,pending,2.99,Asigner categorie: Decoration
EYSF77KNHSYTR,"La Swamp Feuilles de Kumbuk 0,5 oz","La Swamp Feuilles de Kumbuk 0,5 oz",Decoration,decor,product,pending,6.99,Asigner categorie: Decoration
GC5XQMA31AEV0,MBCL Cashew Leaf Litter,Cashew Leaf Litter,Decoration,decor,product,pending,13.99,Asigner categorie: Decoration
K3RQKWMNVS8JR,MBEX,MBEX,Decoration,decor,product,pending,10.99,Asigner categorie: Decoration
6Z6FJHMXFSJCG,MBOL Oak Leaf Litter 1 oz,Oak Leaf Litter 1 oz,Decoration,decor,product,pending,15.99,Asigner categorie: Decoration
6J67AD8JMBW7A,MBPL Maple Leaf Litter 1oz,Maple Leaf Litter 1oz,Decoration,decor,product,pending,14.99,Asigner categorie: Decoration
HYVCVB91010RY,Mango Leaf (1.5oz),Mango Leaf (1.5oz),Decoration,decor,product,pending,16.99,Asigner categorie: Decoration
0SC7E2J9V4466,Mushroom naturel Champignon,Mushroom naturel Champignon,Decoration,decor,product,pending,3.00,Asigner categorie: Decoration
CX5Q1N6H2RK7Y,NC101 Newcal Pet Live Oak Leaf Litter 0.5oz,Newcal Pet Live Oak Leaf Litter 0.5oz,Decoration,decor,product,pending,10.00,Asigner categorie: Decoration
3J470PW04K8H4,NC239 Lotus Pods (3-pack),Lotus Pods (3-pack),Decoration,decor,product,pending,11.00,Asigner categorie: Decoration
MHZ8GH32X1EPC,NC403 Newcal Pet Galho Estrela Natural Cork Branch 36'',Newcal Pet Galho Estrela Natural Cork Branch 36'',Decoration,decor,product,pending,22.00,Asigner categorie: Decoration
3HZB8BDHDDZGJ,NC446 Newcal Pet Curry Tree Branch 10-13,Newcal Pet Curry Tree Branch 10-13,Decoration,decor,product,pending,15.00,Asigner categorie: Decoration
KWBA6843AC96G,NC471 Newcal Pet Liana Vine Rosca 12'',Newcal Pet Liana Vine Rosca 12'',Decoration,decor,product,pending,24.00,Asigner categorie: Decoration
R2ZF0ZQJMQCP0,PP1701 Ornement Aponogeton crispe,Ornement Aponogeton crispe,Decoration,decor,product,pending,23.99,Asigner categorie: Decoration
RTMR52XN37XBW,PP1703 Ornement Lycopode obscur,Ornement Lycopode obscur,Decoration,decor,product,pending,23.99,Asigner categorie: Decoration
DD2RC92032PEE,PP1734 Ludwigia a pointe blanches 14po,Ludwigia a pointe blanches 14po,Decoration,decor,product,pending,19.99,Asigner categorie: Decoration
SV4V4W7K1VR04,PT2478 ExoTerra Boule de Mousse,ExoTerra Boule de Mousse,Decoration,decor,product,created,12.49,Asigner categorie: Decoration
T0Y561J3VTTW6,PT2482 Tapis  de Mousse Exo Terra 45x45 cm,Tapis  de Mousse Exo Terra 45x45 cm,Decoration,decor,product,created,17.99,Asigner categorie: Decoration
HESPKE2DS3PZP,PT2776 Substrat Tropical Coco Husk 3 x 8.8L,Substrat Tropical Coco Husk 3 x 8.8L,Decoration,decor,product,created,15.99,Asigner categorie: Decoration
Y0M573EAB016G,PT2787 ExoTerra Substrat Coque de Noix de Coco 26.4L,ExoTerra Substrat Coque de Noix de Coco 26.4L,Decoration,decor,product,created,37.99,Asigner categorie: Decoration
3A0XHNDH35ZYJ,PT2852 Grotte Moyenne Exo Terra,Grotte Moyenne Exo Terra,Decoration,decor,product,created,12.99,Asigner categorie: Decoration
Z12618SFAXVFG,PT2922 Grotte pour Tortues Terrestres Exo Terra,Grotte pour Tortues Terrestres Exo Terra,Decoration,decor,product,created,79.99,Asigner categorie: Decoration
KAJ84RFX19Y7T,PT2930 Grotte Exo terra petite,Grotte Exo terra petite,Decoration,decor,product,created,10.99,Asigner categorie: Decoration
CPBR8Z58DNXTT,PT2931 Grotte Exo Terra Moyenne,Grotte Exo Terra Moyenne,Decoration,decor,product,created,16.99,Asigner categorie: Decoration
17WJG0DH7K25J,PT2932 Grotte Exo Terra Grande,Grotte Exo Terra Grande,Decoration,decor,product,created,24.49,Asigner categorie: Decoration
