cloverItemId,nombre_actual_recibo,nombre_sugerido_web,asignar_categoria_clover,categoria_sitio,tipo,queue_status,precio_cad,accion_clover
XMSMJ1MFY1YMW,12640 Atasuki 12x12x18,Atasuki 12x12x18,Habitat,terrarium,product,created,105.00,Asigner categorie: Habitat
GRETBAYZCV108,48401 Fond d'aquarium (prix au pied),Fond d'aquarium (prix au pied),Habitat,terrarium,product,created,3.50,Asigner categorie: Habitat
XYVJX8V6ZKQAM,EXS-12,EXS-12,Habitat,terrarium,product,pending,44.99,Asigner categorie: Habitat
ZHFE5CT7NDTRW,EXS23,EXS23,Habitat,terrarium,product,pending,37.99,Asigner categorie: Habitat
3FQ6HAWKZ30SG,JSK Zoomed Creatures Jumping Spider Kit,Zoomed Creatures Jumping Spider Kit,Habitat,terrarium,product,pending,35.00,Asigner categorie: Habitat
TNHCA8R4V5F0C,NC014,NC014,Habitat,terrarium,product,pending,39.99,Asigner categorie: Habitat
153DAQAWMH88W,PT2076,PT2076,Habitat,terrarium,product,created,7.49,Asigner categorie: Habitat
6ZKNSTM6VJBG8,PT2223 ExoTerra Support pour dôme d'éclairage,ExoTerra Support pour dôme d'éclairage,Habitat,terrarium,product,created,25.00,Asigner categorie: Habitat
Q9DRMZJW7611Y,PT2280 Exo Terra Boite de Reproduction Grand,Exo Terra Boite de Reproduction Grand,Habitat,terrarium,product,created,34.99,Asigner categorie: Habitat
EN6F0QHZTEJ9C,PT2285 Habitat pour Grillon (petit),Habitat pour Grillon (petit),Habitat,terrarium,product,created,18.99,Asigner categorie: Habitat
FVBTV5MT0F7QR,PT2301,PT2301,Habitat,terrarium,product,created,29.70,Asigner categorie: Habitat
ZD65986PXPWJG,"PT2365 Apareil d'éclairage, scorpions 15 DEL","Apareil d'éclairage, scorpions 15 DEL",Habitat,terrarium,product,created,30.49,Asigner categorie: Habitat
PW0H92VPS9J18,PT2414 Terrasky Exoterra Led & control,Terrasky Exoterra Led & control,Habitat,terrarium,product,created,239.99,Asigner categorie: Habitat
0M32GZK3ZH3YT,PT2443 Exo Terra Incubation Box,Exo Terra Incubation Box,Habitat,terrarium,product,created,14.99,Asigner categorie: Habitat
CWWKQATY01MST,PT2444 Exo Terra Tabletop Incubator,Exo Terra Tabletop Incubator,Habitat,terrarium,product,created,359.99,Asigner categorie: Habitat
J0VJZQ4GTT08M,PT2468 Exo Terra Ramasse-Selles en acier,Exo Terra Ramasse-Selles en acier,Habitat,terrarium,product,created,16.99,Asigner categorie: Habitat
DGQ2M3ZHJMN4A,PT2490 ExoTerra Plante à ruissellement Petit,ExoTerra Plante à ruissellement Petit,Habitat,terrarium,product,created,54.99,Asigner categorie: Habitat
TRW60RMNWADQW,PT2561 Tapis de Sable Exo Terra (mini),Tapis de Sable Exo Terra (mini),Habitat,terrarium,product,created,13.99,Asigner categorie: Habitat
ERDQF3ZDAKH9W,PT2562 Tapis de Sable (petit),Tapis de Sable (petit),Habitat,terrarium,product,created,20.99,Asigner categorie: Habitat
TKGBHTTVB809P,PT2563 Tapis de Sable Exo Terra (moyen),Tapis de Sable Exo Terra (moyen),Habitat,terrarium,product,created,23.99,Asigner categorie: Habitat
49AH9VGKX0JM8,PT2589 ExoTerra Vista 120 48x24x24,ExoTerra Vista 120 48x24x24,Habitat,terrarium,product,created,650.00,Asigner categorie: Habitat
PC5V6T70YFGGG,"PT2595 Paludarium Naturel et mini , très haut","Paludarium Naturel et mini , très haut",Habitat,terrarium,product,created,191.99,Asigner categorie: Habitat
CM153SVXXEAJ4,PT2600 Terrarium 30*30*30,Terrarium 30*30*30,Habitat,terrarium,product,created,119.99,Asigner categorie: Habitat
55ATW5P3G04PJ,PT2601 Terrarium nano 20*20*30,Terrarium nano 20*20*30,Habitat,terrarium,product,created,95.99,Asigner categorie: Habitat
NDM3CFYZSCYBE,PT2607 ExoTerra Terrarium 18 x 18 x 24,ExoTerra Terrarium 18 x 18 x 24,Habitat,terrarium,product,created,259.99,Asigner categorie: Habitat
