cloverItemId,nombre_actual_recibo,nombre_sugerido_web,asignar_categoria_clover,categoria_sitio,tipo,queue_status,precio_cad,accion_clover
ZASPES8QX486G,02110 Collemboles blanc / White Springtails (Folsomia Candida),Collemboles blanc / White Springtails (Folsomia Candida),Insecte Vivant,food_live,product,created,15.00,Asigner categorie: Insecte Vivant
WCPGA0F7EFE1T,02113 Collemboles tropicaux rose / Tropical Pink Springtails (Sinella curviseta),Collemboles tropicaux rose / Tropical Pink Springtails (Sinella curviseta),Insecte Vivant,food_live,product,created,16.00,Asigner categorie: Insecte Vivant
TYD7ZZ14E0TM2,10160 La Swamp Bruche du haricot,La Swamp Bruche du haricot,Insecte Vivant,food_live,product,created,12.00,Asigner categorie: Insecte Vivant
7W847VZHF8XTP,ASF Adulte vivant,Adulte vivant,Insecte Vivant,food_live,product,created,3.50,Asigner categorie: Insecte Vivant
VH472Z5X04F34,Blate Discoid,Blate Discoid,Insecte Vivant,food_live,product,pending,2.00,Asigner categorie: Insecte Vivant
DMRC79PCC27MY,Cricket 150,Cricket 150,Insecte Vivant,food_live,product,created,12.00,Asigner categorie: Insecte Vivant
XXCQQ29C1DJY2,Cricket 6,Cricket 6,Insecte Vivant,food_live,product,created,1.25,Asigner categorie: Insecte Vivant
XT4V5HW1DPV6P,HF30104 Mini Bloodworms 1.58oz,HF30104 Mini Bloodworms 1.58oz,Insecte Vivant,food_live,product,created,6.99,Asigner categorie: Insecte Vivant
2XFTWKTNA2GSR,HF30120 / 15234 Frozen Bloodworms 100gr (3.5oz),HF30120 / 15234 Frozen Bloodworms 100gr (3.5oz),Insecte Vivant,food_live,product,created,9.99,Asigner categorie: Insecte Vivant
PB0DW30ZV1YHP,HF30250 Hikari Jumbo Blood Worm,HF30250 Hikari Jumbo Blood Worm,Insecte Vivant,food_live,product,created,42.99,Asigner categorie: Insecte Vivant
A94PEAV9QRG2T,HK30240 Jumbo Bloodworms Flat Pack 16oz,HK30240 Jumbo Bloodworms Flat Pack 16oz,Insecte Vivant,food_live,product,created,42.99,Asigner categorie: Insecte Vivant
JAFRJVERV6FZE,MZF RC Nourriture à crickets 1.8 kg,RC Nourriture à crickets 1.8 kg,Insecte Vivant,food_live,product,created,21.99,Asigner categorie: Insecte Vivant
X9DM8PK3YVH2P,MZF08 Cricket Food 8oz,Cricket Food 8oz,Insecte Vivant,food_live,product,created,4.50,Asigner categorie: Insecte Vivant
46AFY8E4FN88C,MZF16 RC Nourriture à crickets 300g,RC Nourriture à crickets 300g,Insecte Vivant,food_live,product,created,8.49,Asigner categorie: Insecte Vivant
E4KSQRESVN8A0,MZF32 RC Nourriture à crickets 600g,RC Nourriture à crickets 600g,Insecte Vivant,food_live,product,created,14.99,Asigner categorie: Insecte Vivant
TZSSFE8FYRCDP,Night Crawlers / Vers de Terre,Night Crawlers / Vers de Terre,Insecte Vivant,food_live,product,pending,9.99,Asigner categorie: Insecte Vivant
RPYWX1CE9Q1SG,PB005 Probugs Dubia Coakroaches - Large 150 gr,Probugs Dubia Coakroaches - Large 150 gr,Insecte Vivant,food_live,product,created,45.00,Asigner categorie: Insecte Vivant
YNKVQ7BKPCVC4,RR4214 Komodo Mealworm Dish,Komodo Mealworm Dish,Insecte Vivant,food_live,product,created,5.99,Asigner categorie: Insecte Vivant
9Q0WCSBKF9J0R,Red Wiggler / Vers de Terre Rouge,Red Wiggler / Vers de Terre Rouge,Insecte Vivant,food_live,product,pending,13.59,Asigner categorie: Insecte Vivant
0EDSTDSRRW1GA,V-Beurre / Butter 10,V-Beurre / Butter 10,Insecte Vivant,food_live,product,pending,10.00,Asigner categorie: Insecte Vivant
168AA2GMK10C2,V-Beurre / Butter 100,V-Beurre / Butter 100,Insecte Vivant,food_live,product,pending,100.00,Asigner categorie: Insecte Vivant
WWHEJ3GYTQNDY,V-Beurre / Butter 25,V-Beurre / Butter 25,Insecte Vivant,food_live,product,pending,25.00,Asigner categorie: Insecte Vivant
T4GXEVFTDJWM6,V-Beurre / Butter 50,V-Beurre / Butter 50,Insecte Vivant,food_live,product,pending,50.00,Asigner categorie: Insecte Vivant
ZMD96NG25J80R,Z167 Zoomed Hanging Mealworm Feeder Bowl,Zoomed Hanging Mealworm Feeder Bowl,Insecte Vivant,food_live,product,created,5.99,Asigner categorie: Insecte Vivant
