cloverItemId,nombre_actual_recibo,nombre_sugerido_web,asignar_categoria_clover,categoria_sitio,tipo,queue_status,precio_cad,accion_clover
CBWSB7Q5JGMQC,Acanthoscurria Geniculato,Acanthoscurria Geniculato,Isopod et Araignee et Fourmis,,animal,pending,100.00,Asigner categorie: Isopod et Araignee et Fourmis
943E0J3E1FHA6,Isopod Armadillidum nasatum Gold Flake Jelly Bean,Isopod Armadillidum nasatum Gold Flake Jelly Bean,Isopod et Araignee et Fourmis,,animal,pending,40.00,Asigner categorie: Isopod et Araignee et Fourmis
8BTZ7ZYN6B37C,Isopod Cubaris Murina Glacier,Isopod Cubaris Murina Glacier,Isopod et Araignee et Fourmis,,animal,pending,40.00,Asigner categorie: Isopod et Araignee et Fourmis
53J0P0P33KRYT,Isopod Cubaris Sp. ''Cappuccino'',Isopod Cubaris Sp. ''Cappuccino'',Isopod et Araignee et Fourmis,,animal,pending,250.00,Asigner categorie: Isopod et Araignee et Fourmis
538CBJW0FHXSR,Isopod Cubaris sp. ''Soil'',Isopod Cubaris sp. ''Soil'',Isopod et Araignee et Fourmis,,animal,pending,100.00,Asigner categorie: Isopod et Araignee et Fourmis
2BT19C1JN4MDJ,Isopod Nesodillo Arcangelii ''Shiro Utsuri'',Isopod Nesodillo Arcangelii ''Shiro Utsuri'',Isopod et Araignee et Fourmis,,animal,pending,55.00,Asigner categorie: Isopod et Araignee et Fourmis
0MCFKYCRV2BY8,Isopod Porcellio Scaber Calico,Isopod Porcellio Scaber Calico,Isopod et Araignee et Fourmis,,animal,pending,20.00,Asigner categorie: Isopod et Araignee et Fourmis
4F5R0KADF9PW0,Isopods P. Scaber Koi 15+,Isopods P. Scaber Koi 15+,Isopod et Araignee et Fourmis,,animal,pending,30.00,Asigner categorie: Isopod et Araignee et Fourmis
8BCVTTFF9Z058,Jumping Spider / Araignée Sauteuse,Jumping Spider / Araignée Sauteuse,Isopod et Araignee et Fourmis,,animal,pending,70.00,Asigner categorie: Isopod et Araignee et Fourmis
GC19P69AX61WM,La Swamp - Nourriture Isopods 16oz,La Swamp - Nourriture Isopods 16oz,Isopod et Araignee et Fourmis,,animal,pending,29.99,Asigner categorie: Isopod et Araignee et Fourmis
