cloverItemId,nombre_actual_recibo,nombre_sugerido_web,asignar_categoria_clover,categoria_sitio,tipo,queue_status,precio_cad,accion_clover
EAZCRB78RN5Z6,Acanthosaura Capra,Acanthosaura Capra,Lezard,,animal,pending,100.00,Asigner categorie: Lezard
VKE8BSE2S8VJJ,Acanthosaura Lepidogaster,Acanthosaura Lepidogaster,Lezard,,animal,pending,300.00,Asigner categorie: Lezard
01TFHG0Z3P1RM,Crocodile Skink Red Eyes (couple),Crocodile Skink Red Eyes (couple),Lezard,,animal,pending,800.00,Asigner categorie: Lezard
RBVN0JH8SDDN6,DR011 Mulberry Madness Crested Gecko Diet 3 oz,Mulberry Madness Crested Gecko Diet 3 oz,Lezard,,animal,pending,26.99,Asigner categorie: Lezard
8BZZV2XBTHEW2,DR072 Repashy Pineapple Express Gecko Diet 6 oz,Repashy Pineapple Express Gecko Diet 6 oz,Lezard,,animal,pending,35.99,Asigner categorie: Lezard
4WZDJZNW0W0N6,DR217 Repashy Mango Tango Crested Gecko Diet 6oz,Repashy Mango Tango Crested Gecko Diet 6oz,Lezard,,animal,pending,40.99,Asigner categorie: Lezard
KWFQ57BVQJAK8,Gecko A Crete,Gecko A Crete,Lezard,,animal,pending,250.00,Asigner categorie: Lezard
S50826PZ3F12C,Gecko à Crête Lily White,Gecko à Crête Lily White,Lezard,,animal,pending,250.00,Asigner categorie: Lezard
5ZDKJR4D8BWZR,Hikari Dragon Delite,Hikari Dragon Delite,Lezard,,animal,pending,24.00,Asigner categorie: Lezard
PX5RB8SG7A8M0,Lacerta Mélanique BB,Lacerta Mélanique BB,Lezard,,animal,pending,500.00,Asigner categorie: Lezard
ZEHYW34YCJ79M,Leachieanus bb,Leachieanus bb,Lezard,,animal,pending,600.00,Asigner categorie: Lezard
QRAA8ZTQ99VD0,Madagascar Spiny,Madagascar Spiny,Lezard,,animal,pending,250.00,Asigner categorie: Lezard
T03VKECNNV4N6,Marginated Tortoise,Marginated Tortoise,Lezard,,animal,pending,600.00,Asigner categorie: Lezard
V6BZNAYVQ8K04,PGD Pangea Insect Complete Gecko Diet,Pangea Insect Complete Gecko Diet,Lezard,,animal,pending,63.49,Asigner categorie: Lezard
PW2QQPTFY2FDJ,PT2810 Bol Gecko Exo Terra,Bol Gecko Exo Terra,Lezard,,animal,pending,15.99,Asigner categorie: Lezard
FXSXN4AGTQN02,PT2865 Grotte pour Gecko Exo Terra Medium,Grotte pour Gecko Exo Terra Medium,Lezard,,animal,pending,34.99,Asigner categorie: Lezard
NHB58PRYQ7T6C,PT2866 Grotte pour Gecko Exo Terra Grand,Grotte pour Gecko Exo Terra Grand,Lezard,,animal,pending,42.99,Asigner categorie: Lezard
WCNCQJCW3DNCJ,"PT3778  Terrarium équipé Exo Terra pour gecko à crête, petit, L. 30 x l. 30 x H. 45 cm","Terrarium équipé Exo Terra pour gecko à crête, petit, L. 30 x l. 30 x H. 45 cm",Lezard,,animal,pending,239.99,Asigner categorie: Lezard
7GW5P5F4TPW0E,WPGD Pangea Watermelon Complete Gecko Diet,Pangea Watermelon Complete Gecko Diet,Lezard,,animal,pending,62.99,Asigner categorie: Lezard
2AYGQ988VXAXY,Z693 Gourmet Bearded Dragon Food 8.25oz,Gourmet Bearded Dragon Food 8.25oz,Lezard,,animal,pending,14.99,Asigner categorie: Lezard
Z4PJ25ZVYX67E,Z775 Crested Gecko Food Watermelon 2oz,Crested Gecko Food Watermelon 2oz,Lezard,,animal,pending,8.49,Asigner categorie: Lezard
VN5R96EDXAECC,Z775C Crested Gecko Food Watermelon 1 LB. Bag,Crested Gecko Food Watermelon 1 LB. Bag,Lezard,,animal,pending,55.99,Asigner categorie: Lezard
JXN4QRDR7RK84,Z776 Crested Gecko Food 2oz,Crested Gecko Food 2oz,Lezard,,animal,pending,8.49,Asigner categorie: Lezard
NXHKDAYBCZEDT,Z776C Crested Gecko Food Tropical Fruit 1 LB. Bag,Crested Gecko Food Tropical Fruit 1 LB. Bag,Lezard,,animal,pending,55.99,Asigner categorie: Lezard
Y92HSRKWQ5MFY,Z777C Crested Gecko Food Plum,Crested Gecko Food Plum,Lezard,,animal,pending,53.99,Asigner categorie: Lezard
4185F4QVCAPYM,Z778 Crested Gecko food BB 2oz,Crested Gecko food BB 2oz,Lezard,,animal,pending,8.49,Asigner categorie: Lezard
