cloverItemId,nombre_actual_recibo,nombre_sugerido_web,asignar_categoria_clover,categoria_sitio,tipo,queue_status,precio_cad,accion_clover
2P8ZBNH47ADMT,Neon LED x2 used 36 pouces & 30``,Neon LED x2 used 36 pouces & 30``,Lumiere,lighting,product,pending,300.00,Asigner categorie: Lumiere
3A5SMY36J4DR8,PT2062 Lampe a pince en Porcelaine,Lampe a pince en Porcelaine,Lumiere,lighting,product,created,64.99,Asigner categorie: Lumiere
SV6AYTPT02DQE,PT2192 Ampoule Solar Glo ET 125w,Ampoule Solar Glo ET 125w,Lumiere,lighting,product,created,75.99,Asigner categorie: Lumiere
PCBPB6JG1G8ZG,PT2193 Ampoule Solar Glo ET 160w,Ampoule Solar Glo ET 160w,Lumiere,lighting,product,created,79.99,Asigner categorie: Lumiere
BVJ8Z8938RQK2,PT2334 ExoTerra Solar Glo 80W,ExoTerra Solar Glo 80W,Lumiere,lighting,product,created,72.00,Asigner categorie: Lumiere
HQ4TEMATXYWA6,PT4255 Rampe Haut rendement T5 UVB 8W,Rampe Haut rendement T5 UVB 8W,Lumiere,lighting,product,created,69.99,Asigner categorie: Lumiere
214TEYK35Q6GC,PT4256 Rampe Haut rendement T5 UVB 24W,Rampe Haut rendement T5 UVB 24W,Lumiere,lighting,product,created,99.99,Asigner categorie: Lumiere
524ARK03JF9M2,PT4257 Rampe Haut rendement T5 UVB 39W,Rampe Haut rendement T5 UVB 39W,Lumiere,lighting,product,created,109.99,Asigner categorie: Lumiere
RK8QWT2KYARQY,PT4258 Rampe Haut rendement T5 UVB 54W,Rampe Haut rendement T5 UVB 54W,Lumiere,lighting,product,created,129.99,Asigner categorie: Lumiere
C2PGT5YAW4SC6,Pinguicula Jauvamensis x Emarginata (Red Rosette),Pinguicula Jauvamensis x Emarginata (Red Rosette),Lumiere,lighting,product,pending,25.00,Asigner categorie: Lumiere
S5BMC34BADJ24,"RARLZ24FZ Arcadia LumenIZE Pro T5 UVB Kit, D3 Forest, 6% UV-B, 24 Watt","RARLZ24FZ Arcadia LumenIZE Pro T5 UVB Kit, D3 Forest, 6% UV-B, 24 Watt",Lumiere,lighting,product,created,174.99,Asigner categorie: Lumiere
CPF8ZMC58XW8E,"RARLZ24RZ Arcadia LumenIZE Pro T5 UVB Kit, D3+ Desert, 12% UV-B, 24 Watt","RARLZ24RZ Arcadia LumenIZE Pro T5 UVB Kit, D3+ Desert, 12% UV-B, 24 Watt",Lumiere,lighting,product,created,174.99,Asigner categorie: Lumiere
FWEFRT6F5TR4A,"RARLZ39FZ Arcadia LumenIZE Pro T5 UVB Kit, D3 Forest, 6% UV-B, 39 Watt","RARLZ39FZ Arcadia LumenIZE Pro T5 UVB Kit, D3 Forest, 6% UV-B, 39 Watt",Lumiere,lighting,product,created,189.99,Asigner categorie: Lumiere
F5Q6WK14NC3N8,"RARLZ39RZ Arcadia LumenIZE Pro T5 UVB Kit, D3+ Desert, 12% UV-B, 39 Watt","RARLZ39RZ Arcadia LumenIZE Pro T5 UVB Kit, D3+ Desert, 12% UV-B, 39 Watt",Lumiere,lighting,product,created,189.99,Asigner categorie: Lumiere
D8ZQMSRA15BCE,"RARLZ54FZ Arcadia LumenIZE Pro T5 UVB Kit, D3 Forest, 6% UV-B, 54 Watt","RARLZ54FZ Arcadia LumenIZE Pro T5 UVB Kit, D3 Forest, 6% UV-B, 54 Watt",Lumiere,lighting,product,created,199.99,Asigner categorie: Lumiere
ZSVV2SSGYP1RY,"RARLZ54RZ Arcadia LumenIZE Pro T5 UVB Kit, D3+ Desert, 12% UV-B, 54 Watt","RARLZ54RZ Arcadia LumenIZE Pro T5 UVB Kit, D3+ Desert, 12% UV-B, 54 Watt",Lumiere,lighting,product,created,199.99,Asigner categorie: Lumiere
