cloverItemId,nombre_actual_recibo,nombre_sugerido_web,asignar_categoria_clover,categoria_sitio,tipo,queue_status,precio_cad,accion_clover
BR3526Y95RMT8,5TNL  Mazuri Carnivorous Reptile Meal KG,Mazuri Carnivorous Reptile Meal KG,Nourriture,food_packaged,product,created,70.99,Asigner categorie: Nourriture
8T10TRKYCJW2W,DR001,DR001,Nourriture,food_packaged,product,created,21.99,Asigner categorie: Nourriture
2JNPK2PQQ2ZK2,DR002,DR002,Nourriture,food_packaged,product,created,32.99,Asigner categorie: Nourriture
PG2PRHXZNDPVJ,DR012,DR012,Nourriture,food_packaged,product,created,35.99,Asigner categorie: Nourriture
XKPB0WSX2BDDC,DR046 Repashy Cherry Bomb 3oz,Repashy Cherry Bomb 3oz,Nourriture,food_packaged,product,created,26.99,Asigner categorie: Nourriture
WEK9K65G9DWQJ,DR047 Repashy Cherry Bomb 6oz,Repashy Cherry Bomb 6oz,Nourriture,food_packaged,product,created,40.99,Asigner categorie: Nourriture
EQYYWMVQFY024,DR067  Beardie Buffet 6oz,Beardie Buffet 6oz,Nourriture,food_packaged,product,created,31.99,Asigner categorie: Nourriture
BV9QZ9XXCSASP,DR071,DR071,Nourriture,food_packaged,product,created,26.99,Asigner categorie: Nourriture
FW9A6QT9DYR9J,DR111 Repashy Calcium plus Lo D 3oz,Repashy Calcium plus Lo D 3oz,Nourriture,food_packaged,product,created,22.99,Asigner categorie: Nourriture
MNPHS9YAVFA1G,DR191 Repashy Vitamine A Plus 3oz,Repashy Vitamine A Plus 3oz,Nourriture,food_packaged,product,created,23.99,Asigner categorie: Nourriture
9HNGDSQ46FVEJ,DR221   Repashy Meat Pie 3oz,Repashy Meat Pie 3oz,Nourriture,food_packaged,product,created,21.99,Asigner categorie: Nourriture
G8506RZ21Y6VG,DR301 Repashy Bug Burger 3oz,Repashy Bug Burger 3oz,Nourriture,food_packaged,product,created,19.50,Asigner categorie: Nourriture
2SXW9KR7MAD62,DR307 Repashy Superhorn 6oz,Repashy Superhorn 6oz,Nourriture,food_packaged,product,created,27.99,Asigner categorie: Nourriture
16JPW62V823EG,DR325 Repashy Superfly,Repashy Superfly,Nourriture,food_packaged,product,created,70.00,Asigner categorie: Nourriture
09HGCMHXSKMT4,DR565 Repashy Morning Wood 70.4 oz,Repashy Morning Wood 70.4 oz,Nourriture,food_packaged,product,created,243.00,Asigner categorie: Nourriture
XHN7NCG58SKQW,Guppies,Guppies,Nourriture,food_live,product,pending,6.00,Asigner categorie: Nourriture
ZFRSB9YEVMPTP,H20631 Hikari Mulberific Delite 7.7oz,Hikari Mulberific Delite 7.7oz,Nourriture,food_packaged,product,pending,31.99,Asigner categorie: Nourriture
GG6PTXA35D9J8,H20633 Hikari Mulberific Delite 22.9 oz,Hikari Mulberific Delite 22.9 oz,Nourriture,food_packaged,product,pending,60.99,Asigner categorie: Nourriture
NBHKCD4FEQY7Y,HK30920 Hikari Frozen Okanagan FW Mysis 3.5 oz Cubes,HK30920 Hikari Frozen Okanagan FW Mysis 3.5 oz Cubes,Nourriture,food_frozen,product,pending,11.99,Asigner categorie: Nourriture
01ACQ8T64A1QC,HK31027 Hikari Frozen Okanagan FW Mysis 8 oz,HK31027 Hikari Frozen Okanagan FW Mysis 8 oz,Nourriture,food_frozen,product,pending,23.99,Asigner categorie: Nourriture
