cloverItemId,nombre_actual_recibo,nombre_sugerido_web,asignar_categoria_clover,categoria_sitio,tipo,queue_status,precio_cad,accion_clover
R18X0M3GJG02P,Calypso Misting Intelligent Automatic System,Calypso Misting Intelligent Automatic System,Piece Remplacement/ Electronique,equipment,product,pending,80.00,Asigner categorie: Piece Remplacement/ Electronique
PEAYHGNR6PHH2,PT2081  ExoTerra Générateur de Brouillard Ultrasonique,ExoTerra Générateur de Brouillard Ultrasonique,Piece Remplacement/ Electronique,equipment,product,created,119.99,Asigner categorie: Piece Remplacement/ Electronique
DY77NH4KYF1XJ,PT2464  Ther. et 600w hygro.100w et minut,Ther. et 600w hygro.100w et minut,Piece Remplacement/ Electronique,equipment,product,created,234.99,Asigner categorie: Piece Remplacement/ Electronique
8B474CCZP1Y0E,PT3178 Cachette et Hygroscopique bûche GRAND,Cachette et Hygroscopique bûche GRAND,Piece Remplacement/ Electronique,equipment,product,created,39.99,Asigner categorie: Piece Remplacement/ Electronique
K96QMA1AJMX7C,Pinky Pump & Probes,Pinky Pump & Probes,Piece Remplacement/ Electronique,equipment,product,pending,95.00,Asigner categorie: Piece Remplacement/ Electronique
KE1Z443S3K3RY,Plugs Pour Calypso Nozzles,Plugs Pour Calypso Nozzles,Piece Remplacement/ Electronique,equipment,product,pending,1.00,Asigner categorie: Piece Remplacement/ Electronique
TRMAKWK388512,Probe Zoomed,Probe Zoomed,Piece Remplacement/ Electronique,equipment,product,pending,5.00,Asigner categorie: Piece Remplacement/ Electronique
KTJ890M3XVE0J,Sprayer 1.5L,Sprayer 1.5L,Piece Remplacement/ Electronique,equipment,product,pending,5.00,Asigner categorie: Piece Remplacement/ Electronique
H124565THTE8M,X46025 Oase Cleaner Pump,Oase Cleaner Pump,Piece Remplacement/ Electronique,equipment,product,pending,23.99,Asigner categorie: Piece Remplacement/ Electronique
21T49WXV61WWR,Z126B Reptile Digital min-max Thermometer,Reptile Digital min-max Thermometer,Piece Remplacement/ Electronique,equipment,product,pending,24.99,Asigner categorie: Piece Remplacement/ Electronique
NCWMEPW5NNVKY,Z160C Nano 10/30 Carbon (1 pack),Nano 10/30 Carbon (1 pack),Piece Remplacement/ Electronique,equipment,product,pending,7.99,Asigner categorie: Piece Remplacement/ Electronique
P3D31AEYEQY90,Z160CM Nano 10/30 Ceramic Media,Nano 10/30 Ceramic Media,Piece Remplacement/ Electronique,equipment,product,pending,7.99,Asigner categorie: Piece Remplacement/ Electronique
DBWK77SA3D552,Z160MS Mechanical Sponge Nano 10,Mechanical Sponge Nano 10,Piece Remplacement/ Electronique,equipment,product,pending,7.99,Asigner categorie: Piece Remplacement/ Electronique
S9VWHAAQNFN4T,Z162 Macro 50 External Canister Filter,Macro 50 External Canister Filter,Piece Remplacement/ Electronique,equipment,product,pending,199.99,Asigner categorie: Piece Remplacement/ Electronique
WNNBZSG4KHYNJ,Z162C Macro 50/75 Carbon (2 pack),Macro 50/75 Carbon (2 pack),Piece Remplacement/ Electronique,equipment,product,pending,13.99,Asigner categorie: Piece Remplacement/ Electronique
9VC1ZAJE4KZYC,Z162MS Mechanical Sponge Macro 50,Mechanical Sponge Macro 50,Piece Remplacement/ Electronique,equipment,product,pending,16.99,Asigner categorie: Piece Remplacement/ Electronique
1HEE2YK5DB708,Z162PS  Pre Filter Sponge Macro 50,Pre Filter Sponge Macro 50,Piece Remplacement/ Electronique,equipment,product,pending,17.99,Asigner categorie: Piece Remplacement/ Electronique
HSRP6B2EQ5WWT,Z166 Turtleclean Filter (10Gal),Turtleclean Filter (10Gal),Piece Remplacement/ Electronique,equipment,product,pending,29.25,Asigner categorie: Piece Remplacement/ Electronique
8STJVNN9Y57V4,Z166A Turtleclean Filter (10Gal) Repl. Cartridge,Turtleclean Filter (10Gal) Repl. Cartridge,Piece Remplacement/ Electronique,equipment,product,pending,5.99,Asigner categorie: Piece Remplacement/ Electronique
BYTGNJYWZS2R2,Z166B Turtleclean Filter (20Gal),Turtleclean Filter (20Gal),Piece Remplacement/ Electronique,equipment,product,pending,36.99,Asigner categorie: Piece Remplacement/ Electronique
2SV50TD4Y80X0,Z166c Turtleclean Filter (20Gal) Repl. Cartridge,Z166c Turtleclean Filter (20Gal) Repl. Cartridge,Piece Remplacement/ Electronique,equipment,product,pending,8.99,Asigner categorie: Piece Remplacement/ Electronique
4GZ85CET60AAA,Z282A ZooMed Nano Combo Dome Hold Down Kit,ZooMed Nano Combo Dome Hold Down Kit,Piece Remplacement/ Electronique,equipment,product,pending,8.99,Asigner categorie: Piece Remplacement/ Electronique
KFMMDJGP4Q5DY,Z315,Z315,Piece Remplacement/ Electronique,equipment,product,pending,7.99,Asigner categorie: Piece Remplacement/ Electronique
WFR33APH0VKHR,Z316,Z316,Piece Remplacement/ Electronique,equipment,product,pending,8.99,Asigner categorie: Piece Remplacement/ Electronique
