cloverItemId,nombre_actual_recibo,nombre_sugerido_web,asignar_categoria_clover,categoria_sitio,tipo,queue_status,precio_cad,accion_clover
0FH64PW6Z3KTM,Medium Bromelads/Bromelia,Medium Bromelads/Bromelia,Plante Vivant,decor,product,pending,40.00,Asigner categorie: Plante Vivant
4BJ38JXD7R99A,Mini Bromelads / Bromelia,Mini Bromelads / Bromelia,Plante Vivant,decor,product,pending,26.00,Asigner categorie: Plante Vivant
0KKAR5RN14JYM,Mousse De Java,Mousse De Java,Plante Vivant,decor,product,pending,9.99,Asigner categorie: Plante Vivant
SSCPSCQZC55WE,Mousse Vivante Grosse,Mousse Vivante Grosse,Plante Vivant,decor,product,pending,20.00,Asigner categorie: Plante Vivant
9AAY30QJFVJ2E,PP1642 petit Helxine 8po,petit Helxine 8po,Plante Vivant,decor,product,pending,14.99,Asigner categorie: Plante Vivant
E081FK0PCR82J,Pinguicula Agnata x Ping Debbertiana 'Johanna',Pinguicula Agnata x Ping Debbertiana 'Johanna',Plante Vivant,decor,product,pending,25.00,Asigner categorie: Plante Vivant
CWZJRZ18WJMAM,Pinguicula Ehlersiae 'Victoria',Pinguicula Ehlersiae 'Victoria',Plante Vivant,decor,product,pending,25.00,Asigner categorie: Plante Vivant
1XQ427H1PQD04,Plante Aquatique,Plante Aquatique,Plante Vivant,decor,product,pending,8.99,Asigner categorie: Plante Vivant
S77Z4F2H7SGPW,Plante Pot Bleu,Plante Pot Bleu,Plante Vivant,decor,product,pending,30.00,Asigner categorie: Plante Vivant
5PDQ3ZGTEWD5G,Plante Pot Gros Noir,Plante Pot Gros Noir,Plante Vivant,decor,product,pending,15.00,Asigner categorie: Plante Vivant
9CNF9QV2GFP6A,Plante Pot Jaune,Plante Pot Jaune,Plante Vivant,decor,product,pending,25.00,Asigner categorie: Plante Vivant
HRM1PEA1THB04,Plante Pot Petit Noir,Plante Pot Petit Noir,Plante Vivant,decor,product,pending,10.00,Asigner categorie: Plante Vivant
ZCVMQ2VJE0SSR,Plante Pot Rouge,Plante Pot Rouge,Plante Vivant,decor,product,pending,20.00,Asigner categorie: Plante Vivant
JVH0RS9ZTBZTC,Plante Pot Vert,Plante Pot Vert,Plante Vivant,decor,product,pending,35.00,Asigner categorie: Plante Vivant
M24QHHD5SR44E,Plante Pothos,Plante Pothos,Plante Vivant,decor,product,pending,7.99,Asigner categorie: Plante Vivant
J7SY3V6Y9W064,SCA Salvinia cullculata  Aquatic,Salvinia cullculata  Aquatic,Plante Vivant,decor,product,pending,3.99,Asigner categorie: Plante Vivant
NPVQXS759DS50,WSG-2 Pangea Succulent Garden #2,WSG-2 Pangea Succulent Garden #2,Plante Vivant,decor,product,pending,28.99,Asigner categorie: Plante Vivant
H3NT18A83CRB8,Z278 Silver Mullein,Silver Mullein,Plante Vivant,decor,product,pending,24.99,Asigner categorie: Plante Vivant
BFHV2Z255Y8S6,Z278A Euphorbia,Euphorbia,Plante Vivant,decor,product,pending,24.99,Asigner categorie: Plante Vivant
81YH5CQAQSTPT,Z278B  Green Aloe,Green Aloe,Plante Vivant,decor,product,pending,11.99,Asigner categorie: Plante Vivant
RDRCQ7RTF1G7M,Z278D Burro's Tail,Burro's Tail,Plante Vivant,decor,product,pending,15.99,Asigner categorie: Plante Vivant
ZJ7QGABKXRSNA,Z278E Tree Houseleek,Tree Houseleek,Plante Vivant,decor,product,pending,13.99,Asigner categorie: Plante Vivant
EAPVJ84198KR2,Z290L,Z290L,Plante Vivant,decor,product,pending,14.99,Asigner categorie: Plante Vivant
QE0EVP1PEQFEW,Z290S Zoomed Plante De Plastique Mexican Phyllo Small,Zoomed Plante De Plastique Mexican Phyllo Small,Plante Vivant,decor,product,pending,7.49,Asigner categorie: Plante Vivant
6TTHFEZ99XYZP,Z291L,Z291L,Plante Vivant,decor,product,pending,14.99,Asigner categorie: Plante Vivant
FKTJ2PAFQ8W2R,Z291S,Z291S,Plante Vivant,decor,product,pending,6.99,Asigner categorie: Plante Vivant
PMFNVRG49M4WA,Z292L,Z292L,Plante Vivant,decor,product,pending,14.99,Asigner categorie: Plante Vivant
KGQ9G4BYD5MNW,Z292S,Z292S,Plante Vivant,decor,product,pending,6.99,Asigner categorie: Plante Vivant
EVSW30ZT43JK6,Z293M,Z293M,Plante Vivant,decor,product,pending,8.99,Asigner categorie: Plante Vivant
PW4T6AC200P7M,Z293S,Z293S,Plante Vivant,decor,product,pending,6.99,Asigner categorie: Plante Vivant
