cloverItemId,nombre_actual_recibo,nombre_sugerido_web,asignar_categoria_clover,categoria_sitio,tipo,queue_status,precio_cad,accion_clover
GV8RZ1RS07FKR,NC431 Newcal Pet Birch Tree Pole 12'',Newcal Pet Birch Tree Pole 12'',Roche Et Bois/Cork,decor,product,pending,13.00,Asigner categorie: Roche Et Bois/Cork
VF5SPSPZ9YPQ0,NC432 Newcal Pet Birch Tree Pole 18'',Newcal Pet Birch Tree Pole 18'',Roche Et Bois/Cork,decor,product,pending,16.50,Asigner categorie: Roche Et Bois/Cork
BN8HWFCSY6FE6,NC433 Newcal Pet Birch Tree Pole 24'',Newcal Pet Birch Tree Pole 24'',Roche Et Bois/Cork,decor,product,pending,20.50,Asigner categorie: Roche Et Bois/Cork
CNJRNMB9NCPQJ,NC434 Newcal Pet Birch Tree Pole 36'',Newcal Pet Birch Tree Pole 36'',Roche Et Bois/Cork,decor,product,pending,28.00,Asigner categorie: Roche Et Bois/Cork
43QHGDVAFG4AY,NC496 Newcal Pet Nerve Wood 14-18,Newcal Pet Nerve Wood 14-18,Roche Et Bois/Cork,decor,product,pending,11.00,Asigner categorie: Roche Et Bois/Cork
RRMVFPYJC17R2,Z175F ZooMed Repti Rock Food Dish Small,ZooMed Repti Rock Food Dish Small,Roche Et Bois/Cork,decor,product,pending,5.99,Asigner categorie: Roche Et Bois/Cork
BZSXN2NQ9AWJE,Z175M Combo Repti Rock Dishes SM,Combo Repti Rock Dishes SM,Roche Et Bois/Cork,decor,product,pending,10.99,Asigner categorie: Roche Et Bois/Cork
EDNSHX3NVFQXT,Z176 Zoomed Repti Rock Water Dish small,Zoomed Repti Rock Water Dish small,Roche Et Bois/Cork,decor,product,pending,8.99,Asigner categorie: Roche Et Bois/Cork
1Z66082TSHE64,Z177,Z177,Roche Et Bois/Cork,decor,product,pending,12.99,Asigner categorie: Roche Et Bois/Cork
JY90DQWWJBJ5W,Z177F,Z177F,Roche Et Bois/Cork,decor,product,pending,9.99,Asigner categorie: Roche Et Bois/Cork
5TXGT1BNPKYGP,Z177M Combo Repti Rock Dishes MD,Combo Repti Rock Dishes MD,Roche Et Bois/Cork,decor,product,pending,16.99,Asigner categorie: Roche Et Bois/Cork
36JCZ6QQ5AXPA,Z178F,Z178F,Roche Et Bois/Cork,decor,product,pending,14.00,Asigner categorie: Roche Et Bois/Cork
XATTBYMEMVR52,Z178M Combo Repti Rock Dishes LG,Combo Repti Rock Dishes LG,Roche Et Bois/Cork,decor,product,pending,27.99,Asigner categorie: Roche Et Bois/Cork
JV8Z85MR7YQXM,Z179,Z179,Roche Et Bois/Cork,decor,product,pending,28.99,Asigner categorie: Roche Et Bois/Cork
0XNN15TMQWQHR,Z179F,Z179F,Roche Et Bois/Cork,decor,product,pending,17.99,Asigner categorie: Roche Et Bois/Cork
6NATHTJHFWBBM,Z179M Combo Repti Rock Dishes XL,Combo Repti Rock Dishes XL,Roche Et Bois/Cork,decor,product,pending,34.99,Asigner categorie: Roche Et Bois/Cork
53DJEHB358CFJ,Z958 Zoomed Creatures Rock Bowl,Zoomed Creatures Rock Bowl,Roche Et Bois/Cork,decor,product,pending,3.99,Asigner categorie: Roche Et Bois/Cork
76NSWYAGN5GFP,Zoomed Repti Rock Water Dish L,Zoomed Repti Rock Water Dish L,Roche Et Bois/Cork,decor,product,pending,25.99,Asigner categorie: Roche Et Bois/Cork
