cloverItemId,nombre_actual_recibo,nombre_sugerido_web,asignar_categoria_clover,categoria_sitio,tipo,queue_status,precio_cad,accion_clover
4F12690QXFMVA,Gerbille / Rat natal vivant/ ASF,Gerbille / Rat natal vivant/ ASF,Rongeur,,animal,pending,10.25,Asigner categorie: Rongeur
87K6PZDYA1NYC,HH1666 Mazuri Hamster et Gerbil Diet,Mazuri Hamster et Gerbil Diet,Rongeur,,animal,pending,7.00,Asigner categorie: Rongeur
1X3TKWVGQY7AY,HH1672 Mazuri Rat & Mouse Diet 2lb,Mazuri Rat & Mouse Diet 2lb,Rongeur,,animal,pending,14.00,Asigner categorie: Rongeur
8H6WSWAQP9D7W,Hamster Syrian Assorted,Hamster Syrian Assorted,Rongeur,,animal,pending,18.00,Asigner categorie: Rongeur
8RHMC24WV2ZQG,Lapin / Cochon d'Inde 150-300 gr.,Lapin / Cochon d'Inde 150-300 gr.,Rongeur,food_frozen,product,pending,9.50,Asigner categorie: Rongeur
22QSETH9T3BDE,Lapin / Cochon d'Inde 300-500 gr,Lapin / Cochon d'Inde 300-500 gr,Rongeur,food_frozen,product,pending,13.99,Asigner categorie: Rongeur
R2J52T2V10WX6,Lapin / Cochon d'Inde 500-800gr,Lapin / Cochon d'Inde 500-800gr,Rongeur,food_frozen,product,pending,19.99,Asigner categorie: Rongeur
5VSK859K7423W,Lapin / Cochon d'Inde 800-1000 gr.,Lapin / Cochon d'Inde 800-1000 gr.,Rongeur,food_frozen,product,pending,23.99,Asigner categorie: Rongeur
EY9N8WTF4ZNW8,Lapin 1001-2000 gr.,Lapin 1001-2000 gr.,Rongeur,food_frozen,product,pending,30.00,Asigner categorie: Rongeur
ZV6EGSH8FHNH0,Poussin Poulet 1 Jour,Poussin Poulet 1 Jour,Rongeur,food_frozen,product,pending,2.99,Asigner categorie: Rongeur
51NQ4DT839E08,RC Pierre Décorative (1KG),Pierre Décorative (1KG),Rongeur,food_frozen,product,pending,5.99,Asigner categorie: Rongeur
KPR1F9EFH9R4E,Rat Chow,Rat Chow,Rongeur,,animal,pending,69.99,Asigner categorie: Rongeur
4JNE76PSYZC0A,Rat Natal Fuzzy Vivant,Rat Natal Fuzzy Vivant,Rongeur,,animal,pending,4.00,Asigner categorie: Rongeur
Q3SN3DCPEPKHR,Rats Colossal,Rats Colossal,Rongeur,food_frozen,product,pending,8.50,Asigner categorie: Rongeur
MTW3T7Z9G6V4T,hamster,hamster,Rongeur,,animal,pending,4.00,Asigner categorie: Rongeur
