cloverItemId,nombre_actual_recibo,nombre_sugerido_web,asignar_categoria_clover,categoria_sitio,tipo,queue_status,precio_cad,accion_clover
HE4VXWH8JNYZM,Boa Male Napalm,Boa Male Napalm,Serpent,,animal,pending,175.00,Asigner categorie: Serpent
VMXQFXDSSRJ08,Boa Poss Super Ghost Het VPI Femelle,Boa Poss Super Ghost Het VPI Femelle,Serpent,,animal,pending,450.00,Asigner categorie: Serpent
HFKJ3QXQ46NVJ,DR402 Repashy Super Hatch Incubation 6 oz,Repashy Super Hatch Incubation 6 oz,Serpent,,animal,pending,14.99,Asigner categorie: Serpent
Y0BQF8A01PMW0,Eastern Black Neck Garter Snake ( Thamnophis cyrtopsis ocellatus,Eastern Black Neck Garter Snake ( Thamnophis cyrtopsis ocellatus,Serpent,,animal,pending,240.00,Asigner categorie: Serpent
SKNKK4K9F03D6,P. Spinicornis 15+,P. Spinicornis 15+,Serpent,,animal,pending,14.99,Asigner categorie: Serpent
SZPDS7H2VYFPC,Python Royale Banana Het Pied Femelle (Asphalt/Yb),Python Royale Banana Het Pied Femelle (Asphalt/Yb),Serpent,,animal,pending,350.00,Asigner categorie: Serpent
TFP3R0N09KE8E,Shiping Corn scaleless Okeetee BB,Shiping Corn scaleless Okeetee BB,Serpent,,animal,pending,73.94,Asigner categorie: Serpent
3GWR32DR0YRT6,Tortue Chinese Godentred Yearling,Tortue Chinese Godentred Yearling,Serpent,,animal,pending,200.00,Asigner categorie: Serpent
Q8583YKPS060G,Tortue Chinese Yellowthread,Tortue Chinese Yellowthread,Serpent,,animal,pending,200.00,Asigner categorie: Serpent
N3J94N65DER60,Tortue Costa rican Ornate,Tortue Costa rican Ornate,Serpent,,animal,pending,200.00,Asigner categorie: Serpent
DQ2ZD86SH0G5W,Tortue Grecque,Tortue Grecque,Serpent,,animal,pending,500.00,Asigner categorie: Serpent
CEEA2VTCA8WBW,Tortue Herman BB,Tortue Herman BB,Serpent,,animal,pending,700.00,Asigner categorie: Serpent
Y1SKBZNNCFKVR,Tortue Hermann Male,Tortue Hermann Male,Serpent,,animal,pending,600.00,Asigner categorie: Serpent
ZHJD1AM3MAAPA,Tortue Mississippi Map Turtle,Tortue Mississippi Map Turtle,Serpent,,animal,pending,250.00,Asigner categorie: Serpent
F8Q8QD8NBXPE8,Tortue Ornata Ornata Western,Tortue Ornata Ornata Western,Serpent,,animal,pending,700.00,Asigner categorie: Serpent
NRDZDRY5KKNWC,Tortue Ornata Wood,Tortue Ornata Wood,Serpent,,animal,pending,400.00,Asigner categorie: Serpent
STJMNGRKK8PS8,Tortue Redfooted BB,Tortue Redfooted BB,Serpent,,animal,pending,600.00,Asigner categorie: Serpent
7K72K60FPSWN2,Tortue Reeve's,Tortue Reeve's,Serpent,,animal,pending,275.00,Asigner categorie: Serpent
P0P6QDD4TA81W,Tortue Russe,Tortue Russe,Serpent,,animal,pending,600.00,Asigner categorie: Serpent
Y6NEJBVG9A9KP,Tortue Sulcata,Tortue Sulcata,Serpent,,animal,pending,600.00,Asigner categorie: Serpent
4MEQB8PV83SBE,Tortue Yellow Bellied BB,Tortue Yellow Bellied BB,Serpent,,animal,pending,200.00,Asigner categorie: Serpent
QA9XJ2TFJ8VTM,boa régulier femelle,boa régulier femelle,Serpent,,animal,pending,150.00,Asigner categorie: Serpent
