row_id,source,cloverItemId,siteId,name,cloverCategory,siteCategory,queueStatus,recordType,confidence,suggestedCloverCategory,suggestedSiteCategory,priceCAD,stockQty,published,hasImage,hasDescription,brand,cleanNameFr,recommendedAction,reason,notes
1,site_product_clover,XMSMJ1MFY1YMW,500c2d36-41aa-4267-8d86-edf0731fa845,12640 Atasuki 12x12x18,,terrarium,created,product,high,Habitat,terrarium,105.00,0,no,no,no,La Swamp / misc SKU,Atasuki 12x12x18,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
2,site_product_clover,GRETBAYZCV108,a87ff126-b1d8-4c33-aa2a-94aed6720f3c,48401 Fond d'aquarium (prix au pied),,terrarium,created,product,high,Habitat,terrarium,3.50,0,no,no,no,La Swamp / misc SKU,Fond d'aquarium (prix au pied),enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
3,site_product_clover,QV7XGQ1R471CR,c2ece3ab-7857-445d-a3f3-708273e5b817,78383 Zoomed Roly-Poly Kit,Habitat,terrarium,created,product,high,Habitat,terrarium,35.99,0,no,no,no,La Swamp / misc SKU,Zoomed Roly-Poly Kit,enrichir luego publicar,Mapeo directo Clover → sitio (sin cambiar Clover),
4,site_product_clover,AW0953G2MYFBY,924d60b7-f03f-47c0-98a2-0ec1677010cb,AF Creation Habitat Imprimé,Habitat,terrarium,created,product,high,Habitat,terrarium,70.00,0,no,no,no,,Creation Habitat Imprimé,enrichir luego publicar,Mapeo directo Clover → sitio (sin cambiar Clover),
5,site_product_clover,C2M7X5TWD4VNC,8a77d868-7a48-4fb0-8db6-953b5f72b78a,Cage Atasuki Used,Habitat,terrarium,created,product,high,Habitat,terrarium,275.00,0,no,no,no,Atasuki,Cage Atasuki Used,enrichir luego publicar,Mapeo directo Clover → sitio (sin cambiar Clover),
6,site_product_clover,MKGDET86FK3WP,c8594393-78f9-4616-b926-61b544fe34e5,Cage Used,Habitat,terrarium,created,product,high,Habitat,terrarium,90.00,0,no,no,no,,Cage Used,enrichir luego publicar,Mapeo directo Clover → sitio (sin cambiar Clover),
7,site_product_clover,976K3HZ5BHBGW,e29595a2-39ec-4df2-b2fa-b7f990516b0d,PT1973 Exo Terra Supplément Liquide de Calcium 4oz / 120 ml,,terrarium,created,product,high,Habitat,terrarium,8.50,0,no,no,no,Exo Terra,Exo Terra Supplément Liquide de Calcium 4oz / 120 ml,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
8,site_product_clover,1KJCW5CMQJ3PC,99777a1e-7f07-40ad-8521-bfb8fd83705f,PT1979 Traitement de l'eau Aquatize 120ml,,terrarium,created,product,high,Habitat,terrarium,10.49,0,no,no,no,Exo Terra,Traitement de l'eau Aquatize 120ml,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
9,site_product_clover,3Z4AJXVBVNPK2,92be8542-cb06-4976-af88-f692b2bb8e74,PT1993 Exo Terra Supplément Liquide d'Électrolytes 4oz / 120 ml,,terrarium,created,product,high,Habitat,terrarium,8.50,0,no,no,no,Exo Terra,Exo Terra Supplément Liquide d'Électrolytes 4oz / 120 ml,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
10,site_product_clover,3A5SMY36J4DR8,90874270-991a-4657-9804-258d185d3a8a,PT2062 Lampe a pince en Porcelaine,,terrarium,created,product,high,Habitat,terrarium,64.99,0,no,no,no,Exo Terra,Lampe a pince en Porcelaine,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
11,site_product_clover,153DAQAWMH88W,f1d8ee8d-0fa2-4783-8123-87ebada30938,PT2076,,terrarium,created,product,high,Habitat,terrarium,7.49,0,no,no,no,Exo Terra,PT2076,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
12,site_product_clover,PEAYHGNR6PHH2,6f7ec3b0-8fe3-43c7-9fa1-f096de90c099,PT2081  ExoTerra Générateur de Brouillard Ultrasonique,,terrarium,created,product,high,Habitat,terrarium,119.99,0,no,no,no,Exo Terra,ExoTerra Générateur de Brouillard Ultrasonique,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
13,site_product_clover,SV6AYTPT02DQE,c379afd8-b3ad-4641-9604-c112a09bf4cc,PT2192 Ampoule Solar Glo ET 125w,,terrarium,created,product,high,Habitat,terrarium,75.99,0,no,no,no,Exo Terra,Ampoule Solar Glo ET 125w,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
14,site_product_clover,PCBPB6JG1G8ZG,61e44711-ff01-4e17-a4d2-df1ef9750bb4,PT2193 Ampoule Solar Glo ET 160w,,terrarium,created,product,high,Habitat,terrarium,79.99,0,no,no,no,Exo Terra,Ampoule Solar Glo ET 160w,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
15,site_product_clover,6ZKNSTM6VJBG8,321a2bb5-7f58-47a7-a9b2-c032d71231a7,PT2223 ExoTerra Support pour dôme d'éclairage,,terrarium,created,product,high,Habitat,terrarium,25.00,0,no,no,no,Exo Terra,ExoTerra Support pour dôme d'éclairage,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
