cloverItemId,name,cloverCategory,priceCAD,stockCount,recordType,suggestedSiteCategory,suggestedCloverCategory,cloverChange,confidence,brand,cleanNameFr,reason,action
EKT06SQH4719M,Cinnamon Tree Frog,Amphibien,125.00,0,animal,,Amphibien,Mantener,high,,Cinnamon Tree Frog,"Categoría Clover animal existente — mantener ""Amphibien""",Créer Animal (no Product)
WTD4H5JW8EE3R,Cobalt BB,Amphibien,75.00,0,animal,,Amphibien,Mantener,high,,Cobalt BB,"Categoría Clover animal existente — mantener ""Amphibien""",Créer Animal (no Product)
031RPGERJNCMA,Crapaud Pipa Pipa,Amphibien,139.99,0,animal,,Amphibien,Mantener,high,,Crapaud Pipa Pipa,"Categoría Clover animal existente — mantener ""Amphibien""",Créer Animal (no Product)
CA2D7QAFTK9B6,Dendrobate Auratus Green and Black,Amphibien,75.00,0,animal,,Amphibien,Mantener,high,,Dendrobate Auratus Green and Black,"Categoría Clover animal existente — mantener ""Amphibien""",Créer Animal (no Product)
5YT0011FXF9R2,Dendrobate Auratus Microspot,Amphibien,75.00,0,animal,,Amphibien,Mantener,high,,Dendrobate Auratus Microspot,"Categoría Clover animal existente — mantener ""Amphibien""",Créer Animal (no Product)
0GMB84N5MZB5W,Dendrobate Leucomelas (Noir et Jaune),Amphibien,75.00,0,animal,,Amphibien,Mantener,high,,Dendrobate Leucomelas (Noir et Jaune),"Categoría Clover animal existente — mantener ""Amphibien""",Créer Animal (no Product)
6ED7SC2HRTZTW,Dendrobate Oophaga Pumilio,Amphibien,135.00,0,animal,,Amphibien,Mantener,high,,Dendrobate Oophaga Pumilio,"Categoría Clover animal existente — mantener ""Amphibien""",Créer Animal (no Product)
47C4HRAE2J000,Dendrobate Phyllobate Aurotaenia,Amphibien,75.00,0,animal,,Amphibien,Mantener,high,,Dendrobate Phyllobate Aurotaenia,"Categoría Clover animal existente — mantener ""Amphibien""",Créer Animal (no Product)
0W2HQV729C82W,Dendrobate Tinctorius Patricia (Bleu et Jaune),Amphibien,90.00,0,animal,,Amphibien,Mantener,high,,Dendrobate Tinctorius Patricia (Bleu et Jaune),"Categoría Clover animal existente — mantener ""Amphibien""",Créer Animal (no Product)
N0R6RF22G92N2,Dendrobate Tinctorius Yellow Back,Amphibien,125.00,0,animal,,Amphibien,Mantener,high,,Dendrobate Tinctorius Yellow Back,"Categoría Clover animal existente — mantener ""Amphibien""",Créer Animal (no Product)
HRK8FKC1XPK4E,Dendrobates Phyllobates Terribilis (Jaune),Amphibien,100.00,0,animal,,Amphibien,Mantener,high,,Dendrobates Phyllobates Terribilis (Jaune),"Categoría Clover animal existente — mantener ""Amphibien""",Créer Animal (no Product)
AA938R2R948JC,Frog Pixie (CB) (Pyxicephalus Adspersus),Amphibien,144.99,0,animal,,Amphibien,Mantener,high,,Frog Pixie (CB) (Pyxicephalus Adspersus),"Categoría Clover animal existente — mantener ""Amphibien""",Créer Animal (no Product)
