cloverItemId,name,priceCAD,recordType,suggestedCloverCategory,suggestedSiteCategory,cloverChange,confidence,brand,cleanNameFr,reason,action
ZASPES8QX486G,02110 Collemboles blanc / White Springtails (Folsomia Candida),15.00,product,Insecte Vivant,food_live,"Asignar ""Insecte Vivant"" en Clover",high,La Swamp / misc SKU,Collemboles blanc / White Springtails (Folsomia Candida),"Patrón nombre → Clover ""Insecte Vivant"" / sitio ""food_live""",Bulk create Product
WCPGA0F7EFE1T,02113 Collemboles tropicaux rose / Tropical Pink Springtails (Sinella curviseta),16.00,product,Insecte Vivant,food_live,"Asignar ""Insecte Vivant"" en Clover",high,La Swamp / misc SKU,Collemboles tropicaux rose / Tropical Pink Springtails (Sinella curviseta),"Patrón nombre → Clover ""Insecte Vivant"" / sitio ""food_live""",Bulk create Product
TYD7ZZ14E0TM2,10160 La Swamp Bruche du haricot,12.00,product,Insecte Vivant,food_live,"Asignar ""Insecte Vivant"" en Clover",high,La Swamp / misc SKU,La Swamp Bruche du haricot,"Patrón nombre → Clover ""Insecte Vivant"" / sitio ""food_live""",Bulk create Product
XMSMJ1MFY1YMW,12640 Atasuki 12x12x18,105.00,product,Habitat,terrarium,"Asignar ""Habitat"" en Clover",high,La Swamp / misc SKU,Atasuki 12x12x18,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",Bulk create Product
CXGJ0N19T5QXG,13731 Zilla Floating Turtle Trunk,79.99,product,Decoration,decor,"Asignar ""Decoration"" en Clover",medium,La Swamp / misc SKU,Zilla Floating Turtle Trunk,"Patrón nombre → Clover ""Decoration"" / sitio ""decor""",Bulk create Product
VQNSHDMCX3ZQC,21979 Jurassic Fiber 5kg,35.00,product,Substrat,substrate,"Asignar ""Substrat"" en Clover",high,La Swamp / misc SKU,Jurassic Fiber 5kg,"Patrón nombre → Clover ""Substrat"" / sitio ""substrate""",Bulk create Product
Z7ZCDKMJ4HPRE,3RML Feuille de Magnolia,12.99,product,Decoration,decor,"Asignar ""Decoration"" en Clover",medium,,Feuille de Magnolia,"Patrón nombre → Clover ""Decoration"" / sitio ""decor""",Bulk create Product
GRETBAYZCV108,48401 Fond d'aquarium (prix au pied),3.50,product,Habitat,terrarium,"Asignar ""Habitat"" en Clover",high,La Swamp / misc SKU,Fond d'aquarium (prix au pied),"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",Bulk create Product
BR3526Y95RMT8,5TNL  Mazuri Carnivorous Reptile Meal KG,70.99,product,Nourriture,food_packaged,"Asignar ""Nourriture"" en Clover",high,Mazuri,Mazuri Carnivorous Reptile Meal KG,"Patrón nombre → Clover ""Nourriture"" / sitio ""food_packaged""",Bulk create Product
E9FVJZCPAJBR0,65404 Botanicals Botte de Foin des Prés + Fleurs,15.00,product,Decoration,decor,"Asignar ""Decoration"" en Clover",medium,La Swamp / misc SKU,Botanicals Botte de Foin des Prés + Fleurs,"Patrón nombre → Clover ""Decoration"" / sitio ""decor""",Bulk create Product
72KBS20S2C944,76997 Basking Hut 8'',21.99,product,Decoration,decor,"Asignar ""Decoration"" en Clover",medium,La Swamp / misc SKU,Basking Hut 8'',"Patrón nombre → Clover ""Decoration"" / sitio ""decor""",Bulk create Product
