cloverItemId,name,cloverCategory,recordType,suggestedCloverCategory,suggestedSiteCategory,reason
VH472Z5X04F34,Blate Discoid,(sans catégorie),review,,,Sin categoría Clover y sin patrón reconocido — revisión manual
BMZ574WDZKEE0,Dendrobates Oophaga Paru (Couple),(sans catégorie),review,,,Sin categoría Clover y sin patrón reconocido — revisión manual
XYVJX8V6ZKQAM,EXS-12,(sans catégorie),review,,,Sin categoría Clover y sin patrón reconocido — revisión manual
ZHFE5CT7NDTRW,EXS23,(sans catégorie),review,,,Sin categoría Clover y sin patrón reconocido — revisión manual
Y0BQF8A01PMW0,Eastern Black Neck Garter Snake ( Thamnophis cyrtopsis ocellatus,(sans catégorie),review,,,Sin categoría Clover y sin patrón reconocido — revisión manual
RVNB4VCYKG3KM,FF2200 Gentle Giants DOG Chicken - Kibble 3lb,(sans catégorie),review,,,Sin categoría Clover y sin patrón reconocido — revisión manual
84Y48BQ6QN4CY,FF2205 Gentle Giants DOG Chicken- Kibble 30lbs,(sans catégorie),review,,,Sin categoría Clover y sin patrón reconocido — revisión manual
FX9WNHK6MQXT8,FF2220 Gentle Giants DOG Beef with Bacon - Kibble 3 lbs,(sans catégorie),review,,,Sin categoría Clover y sin patrón reconocido — revisión manual
B7D77YECZ5KGP,FF2224 Gentle Giants DOG Beef with Bacon - Kibble 24 lbs,(sans catégorie),review,,,Sin categoría Clover y sin patrón reconocido — revisión manual
S7P3P5CC2WZMG,FF2240 Gentle Giants DOG 90% Chicken - Can 13oz,(sans catégorie),review,,,Sin categoría Clover y sin patrón reconocido — revisión manual
1M23YPN69R49T,FF2242 Gentle Giants DOG 90% Beef - Can 13oz,(sans catégorie),review,,,Sin categoría Clover y sin patrón reconocido — revisión manual
EZ020SA0X5CQ0,Gardiennage Semaine,(sans catégorie),review,,,Sin categoría Clover y sin patrón reconocido — revisión manual
70BMBYV6392VA,Gardiennage par jour,(sans catégorie),review,,,Sin categoría Clover y sin patrón reconocido — revisión manual
6ZHFTA1WD2A6E,Gardiennage par mois,(sans catégorie),review,,,Sin categoría Clover y sin patrón reconocido — revisión manual
S3BJAWBE7EX48,Gift card,(sans catégorie),review,,,Sin categoría Clover y sin patrón reconocido — revisión manual
